Id,Class
1,5
2,6
3,1
4,6
5,5
6,6
7,5
8,4
9,6
10,4
11,6
12,3
13,2
14,6
15,1
16,2
17,6
18,6
19,4
20,1
21,6
22,5
23,4
24,4
25,3
26,4
27,2
28,2
29,6
30,4
31,6
32,4
33,6
34,1
35,4
36,2
37,4
38,6
39,6
40,5
41,6
42,5
43,2
44,3
45,4
46,6
47,4
48,4
49,1
50,1
51,5
52,3
53,2
54,3
55,4
56,5
57,2
58,6
59,6
60,6
61,2
62,5
63,5
64,2
65,5
66,6
67,3
68,1
69,3
70,5
71,5
72,4
73,6
74,2
75,5
76,6
77,6
78,1
79,4
80,6
81,4
82,4
83,6
84,5
85,6
86,1
87,5
88,2
89,6
90,6
91,3
92,2
93,1
94,1
95,5
96,5
97,2
98,6
99,6
100,5
101,2
102,3
103,1
104,2
105,4
106,5
107,6
108,6
109,5
110,4
111,1
112,1
113,5
114,2
115,2
116,1
117,1
118,3
119,4
120,4
121,6
122,6
123,2
124,2
125,6
126,2
127,2
128,6
129,2
130,3
131,4
132,4
133,3
134,1
135,2
136,4
137,3
138,3
139,6
140,2
141,1
142,2
143,6
144,6
145,2
146,2
147,1
148,2
149,4
150,5
151,6
152,6
153,5
154,3
155,3
156,6
157,2
158,2
159,5
160,6
161,4
162,5
163,2
164,2
165,4
166,4
167,3
168,3
169,3
170,1
171,3
172,5
173,5
174,3
175,3
176,6
177,5
178,1
179,4
180,1
181,6
182,2
183,6
184,6
185,2
186,5
187,4
188,1
189,6
190,3
191,2
192,1
193,2
194,6
195,1
196,6
197,1
198,6
199,5
200,3
201,2
202,5
203,6
204,1
205,5
206,1
207,6
208,5
209,5
210,3
211,3
212,1
213,5
214,5
215,3
216,1
217,6
218,6
219,5
220,2
221,6
222,5
223,5
224,6
225,5
226,5
227,6
228,5
229,1
230,6
231,2
232,2
233,6
234,6
235,5
236,1
237,1
238,3
239,3
240,4
241,1
242,4
243,4
244,4
245,4
246,3
247,6
248,6
249,6
250,5
251,2
252,5
253,6
254,6
255,3
256,2
257,3
258,5
259,5
260,5
261,4
262,2
263,5
264,3
265,2
266,1
267,5
268,2
269,2
270,1
271,2
272,5
273,2
274,2
275,4
276,3
277,1
278,3
279,1
280,5
281,1
282,4
283,3
284,3
285,6
286,5
287,6
288,2
289,5
290,3
291,1
292,2
293,1
294,1
295,5
296,4
297,4
298,4
299,3
300,2
301,3
302,2
303,4
304,3
305,2
306,6
307,2
308,4
309,6
310,2
311,4
312,5
313,5
314,3
315,5
316,6
317,2
318,6
319,6
320,1
321,5
322,4
323,2
324,4
325,5
326,1
327,4
328,5
329,2
330,6
331,2
332,4
333,5
334,6
335,5
336,4
337,5
338,1
339,1
340,5
341,5
342,1
343,5
344,1
345,2
346,5
347,5
348,6
349,2
350,5
351,5
352,6
353,1
354,1
355,5
356,1
357,1
358,6
359,3
360,4
361,1
362,5
363,5
364,2
365,5
366,1
367,3
368,4
369,6
370,4
371,6
372,1
373,3
374,2
375,1
376,6
377,3
378,6
379,2
380,3
381,5
382,1
383,6
384,3
385,6
386,5
387,5
388,1
389,3
390,2
391,1
392,3
393,5
394,5
395,4
396,5
397,3
398,2
399,2
400,5
401,2
402,6
403,3
404,6
405,6
406,5
407,4
408,5
409,2
410,6
411,5
412,5
413,1
414,3
415,6
416,5
417,5
418,6
419,5
420,4
421,1
422,1
423,4
424,1
425,5
426,4
427,3
428,1
429,2
430,4
431,4
432,4
433,2
434,2
435,2
436,3
437,5
438,4
439,1
440,2
441,1
442,2
443,2
444,3
